sample_id,method,mixture_size,combination_id,combination,pH,seed,dopamine_concentration,uric_acid_concentration,ascorbic_acid_concentration,glucose_concentration,copper_concentration,aluminum_concentration
49,CV,1,2,ascorbic_acid,7.5,91,0.0,0.0,2.0,0.0,0.0,0.0
50,CV,1,2,ascorbic_acid,7.5,92,0.0,0.0,0.5,0.0,0.0,0.0
51,CV,1,2,ascorbic_acid,7.5,93,0.0,0.0,5.0,0.0,0.0,0.0
52,CV,1,2,ascorbic_acid,6.0,94,0.0,0.0,0.1,0.0,0.0,0.0
53,CV,1,2,ascorbic_acid,6.5,95,0.0,0.0,0.5,0.0,0.0,0.0
54,CV,1,2,ascorbic_acid,7.0,96,0.0,0.0,2.0,0.0,0.0,0.0
55,CV,1,2,ascorbic_acid,7.0,97,0.0,0.0,0.1,0.0,0.0,0.0
56,CV,1,2,ascorbic_acid,6.0,98,0.0,0.0,0.5,0.0,0.0,0.0
57,CV,1,2,ascorbic_acid,7.0,99,0.0,0.0,5.0,0.0,0.0,0.0
58,CV,1,2,ascorbic_acid,6.0,100,0.0,0.0,2.0,0.0,0.0,0.0
59,CV,1,2,ascorbic_acid,7.5,101,0.0,0.0,0.2,0.0,0.0,0.0
60,CV,1,2,ascorbic_acid,7.5,102,0.0,0.0,0.5,0.0,0.0,0.0
61,CV,1,3,glucose,8.0,103,0.0,0.0,0.0,1.0,0.0,0.0
62,CV,1,3,glucose,7.5,104,0.0,0.0,0.0,2.0,0.0,0.0
63,CV,1,3,glucose,6.5,105,0.0,0.0,0.0,0.2,0.0,0.0
64,CV,1,3,glucose,8.0,106,0.0,0.0,0.0,1.0,0.0,0.0
65,CV,1,3,glucose,7.0,107,0.0,0.0,0.0,0.1,0.0,0.0
66,CV,1,3,glucose,6.5,108,0.0,0.0,0.0,0.1,0.0,0.0
67,CV,1,3,glucose,8.0,109,0.0,0.0,0.0,1.0,0.0,0.0
68,CV,1,3,glucose,6.5,110,0.0,0.0,0.0,1.0,0.0,0.0
69,CV,1,3,glucose,6.0,111,0.0,0.0,0.0,0.5,0.0,0.0
70,CV,1,3,glucose,7.0,112,0.0,0.0,0.0,0.2,0.0,0.0
71,CV,1,3,glucose,7.5,113,0.0,0.0,0.0,0.2,0.0,0.0
72,CV,1,3,glucose,6.0,114,0.0,0.0,0.0,0.1,0.0,0.0
73,CV,1,3,glucose,7.0,115,0.0,0.0,0.0,1.0,0.0,0.0
74,CV,1,3,glucose,6.0,116,0.0,0.0,0.0,0.2,0.0,0.0
75,CV,1,3,glucose,7.5,117,0.0,0.0,0.0,0.1,0.0,0.0
76,CV,1,3,glucose,7.0,118,0.0,0.0,0.0,0.5,0.0,0.0
77,CV,1,3,glucose,6.5,119,0.0,0.0,0.0,0.5,0.0,0.0
78,CV,1,3,glucose,6.5,120,0.0,0.0,0.0,0.2,0.0,0.0
79,CV,1,3,glucose,7.0,121,0.0,0.0,0.0,0.2,0.0,0.0
80,CV,1,3,glucose,7.5,122,0.0,0.0,0.0,5.0,0.0,0.0
81,CV,1,4,copper,8.0,123,0.0,0.0,0.0,0.0,0.1,0.0
82,CV,1,4,copper,7.0,124,0.0,0.0,0.0,0.0,5.0,0.0
83,CV,1,4,copper,6.0,125,0.0,0.0,0.0,0.0,0.5,0.0
84,CV,1,4,copper,8.0,126,0.0,0.0,0.0,0.0,0.2,0.0
85,CV,1,4,copper,7.5,127,0.0,0.0,0.0,0.0,1.0,0.0
86,CV,1,4,copper,7.5,128,0.0,0.0,0.0,0.0,2.0,0.0
87,CV,1,4,copper,6.0,129,0.0,0.0,0.0,0.0,1.0,0.0
88,CV,1,4,copper,6.5,130,0.0,0.0,0.0,0.0,2.0,0.0
89,CV,1,4,copper,7.5,131,0.0,0.0,0.0,0.0,0.5,0.0
90,CV,1,4,copper,8.0,132,0.0,0.0,0.0,0.0,5.0,0.0
91,CV,1,4,copper,7.0,133,0.0,0.0,0.0,0.0,1.0,0.0
92,CV,1,4,copper,8.0,134,0.0,0.0,0.0,0.0,2.0,0.0
93,CV,1,4,copper,8.0,135,0.0,0.0,0.0,0.0,0.5,0.0
94,CV,1,4,copper,6.5,136,0.0,0.0,0.0,0.0,5.0,0.0
95,CV,1,4,copper,8.0,137,0.0,0.0,0.0,0.0,0.5,0.0
96,CV,1,4,copper,6.5,138,0.0,0.0,0.0,0.0,1.0,0.0
97,CV,1,4,copper,6.5,139,0.0,0.0,0.0,0.0,0.5,0.0
98,CV,1,4,copper,7.5,140,0.0,0.0,0.0,0.0,1.0,0.0
99,CV,1,4,copper,7.5,141,0.0,0.0,0.0,0.0,0.5,0.0
100,CV,1,4,copper,6.0,142,0.0,0.0,0.0,0.0,0.1,0.0
101,CV,1,5,aluminum,8.0,143,0.0,0.0,0.0,0.0,0.0,5.0
102,CV,1,5,aluminum,6.0,144,0.0,0.0,0.0,0.0,0.0,0.2
103,CV,1,5,aluminum,8.0,145,0.0,0.0,0.0,0.0,0.0,1.0
104,CV,1,5,aluminum,6.0,146,0.0,0.0,0.0,0.0,0.0,5.0
105,CV,1,5,aluminum,7.5,147,0.0,0.0,0.0,0.0,0.0,0.1
106,CV,1,5,aluminum,7.5,148,0.0,0.0,0.0,0.0,0.0,0.1
107,CV,1,5,aluminum,7.5,149,0.0,0.0,0.0,0.0,0.0,0.2
108,CV,1,5,aluminum,7.5,150,0.0,0.0,0.0,0.0,0.0,1.0
109,CV,1,5,aluminum,7.0,151,0.0,0.0,0.0,0.0,0.0,2.0
110,CV,1,5,aluminum,7.5,152,0.0,0.0,0.0,0.0,0.0,2.0
111,CV,1,5,aluminum,6.5,153,0.0,0.0,0.0,0.0,0.0,2.0
112,CV,1,5,aluminum,7.5,154,0.0,0.0,0.0,0.0,0.0,0.2
113,CV,1,5,aluminum,7.0,155,0.0,0.0,0.0,0.0,0.0,0.1
114,CV,1,5,aluminum,7.0,156,0.0,0.0,0.0,0.0,0.0,5.0
115,CV,1,5,aluminum,7.0,157,0.0,0.0,0.0,0.0,0.0,0.1
116,CV,1,5,aluminum,7.0,158,0.0,0.0,0.0,0.0,0.0,0.5
117,CV,1,5,aluminum,6.0,159,0.0,0.0,0.0,0.0,0.0,5.0
118,CV,1,5,aluminum,6.0,160,0.0,0.0,0.0,0.0,0.0,0.1
119,CV,1,5,aluminum,6.5,161,0.0,0.0,0.0,0.0,0.0,5.0
120,CV,1,5,aluminum,6.0,162,0.0,0.0,0.0,0.0,0.0,1.0
121,CV,2,6,dopamine+uric_acid,7.0,163,0.5,2.0,0.0,0.0,0.0,0.0
122,CV,2,6,dopamine+uric_acid,7.5,164,1.0,0.1,0.0,0.0,0.0,0.0
123,CV,2,6,dopamine+uric_acid,7.5,165,1.0,0.5,0.0,0.0,0.0,0.0
124,CV,2,6,dopamine+uric_acid,7.0,166,5.0,2.0,0.0,0.0,0.0,0.0
125,CV,2,6,dopamine+uric_acid,8.0,167,2.0,0.1,0.0,0.0,0.0,0.0
126,CV,2,6,dopamine+uric_acid,7.0,168,0.5,0.2,0.0,0.0,0.0,0.0
127,CV,2,6,dopamine+uric_acid,6.0,169,5.0,0.5,0.0,0.0,0.0,0.0
128,CV,2,6,dopamine+uric_acid,7.5,170,2.0,2.0,0.0,0.0,0.0,0.0
129,CV,2,6,dopamine+uric_acid,7.0,171,2.0,0.1,0.0,0.0,0.0,0.0
130,CV,2,6,dopamine+uric_acid,7.5,172,0.5,0.2,0.0,0.0,0.0,0.0
131,CV,2,6,dopamine+uric_acid,7.0,173,2.0,0.1,0.0,0.0,0.0,0.0
132,CV,2,6,dopamine+uric_acid,7.0,174,0.5,5.0,0.0,0.0,0.0,0.0
133,CV,2,6,dopamine+uric_acid,6.0,175,2.0,1.0,0.0,0.0,0.0,0.0
134,CV,2,6,dopamine+uric_acid,7.0,176,0.2,5.0,0.0,0.0,0.0,0.0
135,CV,2,6,dopamine+uric_acid,7.5,177,2.0,0.5,0.0,0.0,0.0,0.0
136,CV,2,6,dopamine+uric_acid,6.5,178,1.0,2.0,0.0,0.0,0.0,0.0
137,CV,2,6,dopamine+uric_acid,7.5,179,5.0,5.0,0.0,0.0,0.0,0.0
138,CV,2,6,dopamine+uric_acid,6.0,180,0.2,1.0,0.0,0.0,0.0,0.0
139,CV,2,6,dopamine+uric_acid,6.5,181,2.0,2.0,0.0,0.0,0.0,0.0
140,CV,2,6,dopamine+uric_acid,7.0,182,2.0,0.1,0.0,0.0,0.0,0.0
141,CV,2,7,dopamine+ascorbic_acid,8.0,183,5.0,0.0,5.0,0.0,0.0,0.0
142,CV,2,7,dopamine+ascorbic_acid,6.5,184,0.5,0.0,0.1,0.0,0.0,0.0
143,CV,2,7,dopamine+ascorbic_acid,6.5,185,0.2,0.0,0.2,0.0,0.0,0.0
144,CV,2,7,dopamine+ascorbic_acid,7.0,186,0.1,0.0,1.0,0.0,0.0,0.0
145,CV,2,7,dopamine+ascorbic_acid,8.0,187,1.0,0.0,0.2,0.0,0.0,0.0
146,CV,2,7,dopamine+ascorbic_acid,8.0,188,0.5,0.0,0.1,0.0,0.0,0.0
147,CV,2,7,dopamine+ascorbic_acid,6.0,189,0.5,0.0,0.5,0.0,0.0,0.0
148,CV,2,7,dopamine+ascorbic_acid,6.5,190,0.2,0.0,1.0,0.0,0.0,0.0
149,CV,2,7,dopamine+ascorbic_acid,8.0,191,0.1,0.0,5.0,0.0,0.0,0.0
150,CV,2,7,dopamine+ascorbic_acid,6.0,192,2.0,0.0,1.0,0.0,0.0,0.0
151,CV,2,7,dopamine+ascorbic_acid,8.0,193,1.0,0.0,1.0,0.0,0.0,0.0
152,CV,2,7,dopamine+ascorbic_acid,6.5,194,5.0,0.0,5.0,0.0,0.0,0.0
153,CV,2,7,dopamine+ascorbic_acid,8.0,195,0.2,0.0,0.1,0.0,0.0,0.0
154,CV,2,7,dopamine+ascorbic_acid,6.5,196,0.2,0.0,5.0,0.0,0.0,0.0
155,CV,2,7,dopamine+ascorbic_acid,7.0,197,5.0,0.0,5.0,0.0,0.0,0.0
156,CV,2,7,dopamine+ascorbic_acid,7.5,198,0.5,0.0,2.0,0.0,0.0,0.0
157,CV,2,7,dopamine+ascorbic_acid,6.0,199,0.5,0.0,2.0,0.0,0.0,0.0
158,CV,2,7,dopamine+ascorbic_acid,7.0,200,0.1,0.0,1.0,0.0,0.0,0.0
159,CV,2,7,dopamine+ascorbic_acid,7.0,201,0.2,0.0,5.0,0.0,0.0,0.0
160,CV,2,7,dopamine+ascorbic_acid,7.5,202,0.2,0.0,0.5,0.0,0.0,0.0
161,CV,2,8,dopamine+glucose,8.0,203,0.2,0.0,0.0,2.0,0.0,0.0
162,CV,2,8,dopamine+glucose,7.5,204,2.0,0.0,0.0,1.0,0.0,0.0
163,CV,2,8,dopamine+glucose,7.0,205,1.0,0.0,0.0,5.0,0.0,0.0
164,CV,2,8,dopamine+glucose,7.0,206,1.0,0.0,0.0,5.0,0.0,0.0
165,CV,2,8,dopamine+glucose,7.0,207,0.1,0.0,0.0,0.2,0.0,0.0
166,CV,2,8,dopamine+glucose,8.0,208,5.0,0.0,0.0,5.0,0.0,0.0
167,CV,2,8,dopamine+glucose,6.5,209,2.0,0.0,0.0,0.2,0.0,0.0
168,CV,2,8,dopamine+glucose,6.0,210,0.2,0.0,0.0,2.0,0.0,0.0
169,CV,2,8,dopamine+glucose,6.5,211,0.1,0.0,0.0,0.5,0.0,0.0
170,CV,2,8,dopamine+glucose,6.0,212,0.1,0.0,0.0,1.0,0.0,0.0
171,CV,2,8,dopamine+glucose,6.0,213,0.2,0.0,0.0,1.0,0.0,0.0
172,CV,2,8,dopamine+glucose,6.0,214,0.1,0.0,0.0,0.1,0.0,0.0
173,CV,2,8,dopamine+glucose,7.5,215,5.0,0.0,0.0,5.0,0.0,0.0
174,CV,2,8,dopamine+glucose,7.5,216,5.0,0.0,0.0,5.0,0.0,0.0
175,CV,2,8,dopamine+glucose,7.5,217,2.0,0.0,0.0,5.0,0.0,0.0
176,CV,2,8,dopamine+glucose,7.0,218,1.0,0.0,0.0,5.0,0.0,0.0
177,CV,2,8,dopamine+glucose,7.5,219,0.1,0.0,0.0,2.0,0.0,0.0
178,CV,2,8,dopamine+glucose,6.0,220,2.0,0.0,0.0,5.0,0.0,0.0
179,CV,2,8,dopamine+glucose,8.0,221,0.5,0.0,0.0,0.5,0.0,0.0
180,CV,2,8,dopamine+glucose,7.0,222,0.5,0.0,0.0,0.5,0.0,0.0
181,CV,2,9,dopamine+copper,8.0,223,0.5,0.0,0.0,0.0,5.0,0.0
182,CV,2,9,dopamine+copper,6.0,224,2.0,0.0,0.0,0.0,1.0,0.0
183,CV,2,9,dopamine+copper,7.0,225,5.0,0.0,0.0,0.0,1.0,0.0
184,CV,2,9,dopamine+copper,7.5,226,5.0,0.0,0.0,0.0,2.0,0.0
185,CV,2,9,dopamine+copper,7.0,227,0.5,0.0,0.0,0.0,0.5,0.0
186,CV,2,9,dopamine+copper,7.0,228,1.0,0.0,0.0,0.0,1.0,0.0
187,CV,2,9,dopamine+copper,6.0,229,1.0,0.0,0.0,0.0,5.0,0.0
188,CV,2,9,dopamine+copper,6.5,230,1.0,0.0,0.0,0.0,0.1,0.0
189,CV,2,9,dopamine+copper,6.5,231,0.2,0.0,0.0,0.0,1.0,0.0
190,CV,2,9,dopamine+copper,6.5,232,1.0,0.0,0.0,0.0,1.0,0.0
191,CV,2,9,dopamine+copper,7.5,233,0.1,0.0,0.0,0.0,0.1,0.0
192,CV,2,9,dopamine+copper,7.5,234,0.5,0.0,0.0,0.0,2.0,0.0
193,CV,2,9,dopamine+copper,7.5,235,2.0,0.0,0.0,0.0,0.5,0.0
194,CV,2,9,dopamine+copper,6.5,236,1.0,0.0,0.0,0.0,2.0,0.0
195,CV,2,9,dopamine+copper,8.0,237,2.0,0.0,0.0,0.0,0.5,0.0
196,CV,2,9,dopamine+copper,6.0,238,1.0,0.0,0.0,0.0,0.5,0.0
197,CV,2,9,dopamine+copper,6.5,239,2.0,0.0,0.0,0.0,0.1,0.0
198,CV,2,9,dopamine+copper,6.0,240,5.0,0.0,0.0,0.0,1.0,0.0
199,CV,2,9,dopamine+copper,6.5,241,0.5,0.0,0.0,0.0,0.2,0.0
200,CV,2,9,dopamine+copper,8.0,242,2.0,0.0,0.0,0.0,0.1,0.0
201,CV,2,10,dopamine+aluminum,6.5,243,5.0,0.0,0.0,0.0,0.0,0.5
202,CV,2,10,dopamine+aluminum,8.0,244,5.0,0.0,0.0,0.0,0.0,0.1
203,CV,2,10,dopamine+aluminum,7.0,245,5.0,0.0,0.0,0.0,0.0,0.5
204,CV,2,10,dopamine+aluminum,7.5,246,2.0,0.0,0.0,0.0,0.0,0.2
205,CV,2,10,dopamine+aluminum,7.0,247,0.2,0.0,0.0,0.0,0.0,2.0
206,CV,2,10,dopamine+aluminum,6.5,248,1.0,0.0,0.0,0.0,0.0,1.0
207,CV,2,10,dopamine+aluminum,7.5,249,2.0,0.0,0.0,0.0,0.0,5.0
208,CV,2,10,dopamine+aluminum,8.0,250,0.5,0.0,0.0,0.0,0.0,0.2
209,CV,2,10,dopamine+aluminum,6.5,251,0.1,0.0,0.0,0.0,0.0,1.0
210,CV,2,10,dopamine+aluminum,7.5,252,5.0,0.0,0.0,0.0,0.0,1.0
211,CV,2,10,dopamine+aluminum,6.5,253,1.0,0.0,0.0,0.0,0.0,0.2
212,CV,2,10,dopamine+aluminum,7.5,254,0.2,0.0,0.0,0.0,0.0,0.5
213,CV,2,10,dopamine+aluminum,7.5,255,0.2,0.0,0.0,0.0,0.0,2.0
214,CV,2,10,dopamine+aluminum,7.0,256,0.5,0.0,0.0,0.0,0.0,2.0
215,CV,2,10,dopamine+aluminum,7.5,257,2.0,0.0,0.0,0.0,0.0,2.0
216,CV,2,10,dopamine+aluminum,6.5,258,1.0,0.0,0.0,0.0,0.0,0.5
217,CV,2,10,dopamine+aluminum,6.0,259,0.2,0.0,0.0,0.0,0.0,1.0
218,CV,2,10,dopamine+aluminum,6.0,260,5.0,0.0,0.0,0.0,0.0,5.0
219,CV,2,10,dopamine+aluminum,7.0,261,0.5,0.0,0.0,0.0,0.0,0.5
220,CV,2,10,dopamine+aluminum,8.0,262,2.0,0.0,0.0,0.0,0.0,5.0
221,CV,2,11,uric_acid+ascorbic_acid,6.0,263,0.0,5.0,0.5,0.0,0.0,0.0
222,CV,2,11,uric_acid+ascorbic_acid,7.0,264,0.0,0.1,0.5,0.0,0.0,0.0
223,CV,2,11,uric_acid+ascorbic_acid,7.5,265,0.0,2.0,0.2,0.0,0.0,0.0
224,CV,2,11,uric_acid+ascorbic_acid,6.5,266,0.0,0.5,0.2,0.0,0.0,0.0
225,CV,2,11,uric_acid+ascorbic_acid,7.5,267,0.0,1.0,1.0,0.0,0.0,0.0
226,CV,2,11,uric_acid+ascorbic_acid,6.5,268,0.0,2.0,5.0,0.0,0.0,0.0
227,CV,2,11,uric_acid+ascorbic_acid,8.0,269,0.0,5.0,0.2,0.0,0.0,0.0
228,CV,2,11,uric_acid+ascorbic_acid,7.0,270,0.0,1.0,0.5,0.0,0.0,0.0
229,CV,2,11,uric_acid+ascorbic_acid,7.0,271,0.0,5.0,2.0,0.0,0.0,0.0
230,CV,2,11,uric_acid+ascorbic_acid,6.0,272,0.0,0.1,0.5,0.0,0.0,0.0
231,CV,2,11,uric_acid+ascorbic_acid,7.0,273,0.0,0.1,0.2,0.0,0.0,0.0
232,CV,2,11,uric_acid+ascorbic_acid,8.0,274,0.0,1.0,5.0,0.0,0.0,0.0
233,CV,2,11,uric_acid+ascorbic_acid,6.0,275,0.0,0.2,5.0,0.0,0.0,0.0
234,CV,2,11,uric_acid+ascorbic_acid,7.5,276,0.0,1.0,2.0,0.0,0.0,0.0
235,CV,2,11,uric_acid+ascorbic_acid,7.0,277,0.0,0.1,1.0,0.0,0.0,0.0
236,CV,2,11,uric_acid+ascorbic_acid,7.5,278,0.0,1.0,2.0,0.0,0.0,0.0
237,CV,2,11,uric_acid+ascorbic_acid,7.5,279,0.0,1.0,0.1,0.0,0.0,0.0
238,CV,2,11,uric_acid+ascorbic_acid,7.0,280,0.0,0.5,5.0,0.0,0.0,0.0
239,CV,2,11,uric_acid+ascorbic_acid,6.5,281,0.0,1.0,0.5,0.0,0.0,0.0
240,CV,2,11,uric_acid+ascorbic_acid,7.5,282,0.0,2.0,1.0,0.0,0.0,0.0
241,CV,2,12,uric_acid+glucose,6.0,283,0.0,0.1,0.0,2.0,0.0,0.0
242,CV,2,12,uric_acid+glucose,7.0,284,0.0,0.2,0.0,1.0,0.0,0.0
243,CV,2,12,uric_acid+glucose,6.0,285,0.0,2.0,0.0,0.1,0.0,0.0
244,CV,2,12,uric_acid+glucose,7.5,286,0.0,0.2,0.0,0.5,0.0,0.0
245,CV,2,12,uric_acid+glucose,7.5,287,0.0,5.0,0.0,5.0,0.0,0.0
246,CV,2,12,uric_acid+glucose,6.0,288,0.0,0.2,0.0,2.0,0.0,0.0
247,CV,2,12,uric_acid+glucose,7.5,289,0.0,1.0,0.0,5.0,0.0,0.0
248,CV,2,12,uric_acid+glucose,7.0,290,0.0,0.2,0.0,0.5,0.0,0.0
249,CV,2,12,uric_acid+glucose,7.5,291,0.0,0.1,0.0,0.2,0.0,0.0
250,CV,2,12,uric_acid+glucose,6.0,292,0.0,5.0,0.0,2.0,0.0,0.0
251,CV,2,12,uric_acid+glucose,6.0,293,0.0,0.1,0.0,2.0,0.0,0.0
252,CV,2,12,uric_acid+glucose,7.0,294,0.0,0.1,0.0,1.0,0.0,0.0
253,CV,2,12,uric_acid+glucose,6.0,295,0.0,0.2,0.0,0.1,0.0,0.0
254,CV,2,12,uric_acid+glucose,6.5,296,0.0,0.1,0.0,1.0,0.0,0.0
255,CV,2,12,uric_acid+glucose,7.5,297,0.0,0.2,0.0,0.1,0.0,0.0
256,CV,2,12,uric_acid+glucose,6.0,298,0.0,0.5,0.0,1.0,0.0,0.0
257,CV,2,12,uric_acid+glucose,7.5,299,0.0,2.0,0.0,2.0,0.0,0.0
258,CV,2,12,uric_acid+glucose,6.0,300,0.0,0.1,0.0,2.0,0.0,0.0
259,CV,2,12,uric_acid+glucose,6.0,301,0.0,0.2,0.0,0.5,0.0,0.0
260,CV,2,12,uric_acid+glucose,7.0,302,0.0,2.0,0.0,2.0,0.0,0.0
261,CV,2,13,uric_acid+copper,7.5,303,0.0,0.5,0.0,0.0,0.2,0.0
262,CV,2,13,uric_acid+copper,6.0,304,0.0,2.0,0.0,0.0,1.0,0.0
263,CV,2,13,uric_acid+copper,6.5,305,0.0,0.2,0.0,0.0,2.0,0.0
264,CV,2,13,uric_acid+copper,8.0,306,0.0,2.0,0.0,0.0,0.1,0.0
265,CV,2,13,uric_acid+copper,8.0,307,0.0,5.0,0.0,0.0,1.0,0.0
266,CV,2,13,uric_acid+copper,7.0,308,0.0,1.0,0.0,0.0,2.0,0.0
267,CV,2,13,uric_acid+copper,7.0,309,0.0,1.0,0.0,0.0,0.2,0.0
268,CV,2,13,uric_acid+copper,6.5,310,0.0,0.1,0.0,0.0,1.0,0.0
269,CV,2,13,uric_acid+copper,7.5,311,0.0,0.5,0.0,0.0,0.1,0.0
270,CV,2,13,uric_acid+copper,7.0,312,0.0,0.1,0.0,0.0,1.0,0.0
271,CV,2,13,uric_acid+copper,6.5,313,0.0,0.2,0.0,0.0,1.0,0.0
272,CV,2,13,uric_acid+copper,6.0,314,0.0,0.5,0.0,0.0,5.0,0.0
273,CV,2,13,uric_acid+copper,6.0,315,0.0,1.0,0.0,0.0,2.0,0.0
274,CV,2,13,uric_acid+copper,8.0,316,0.0,0.1,0.0,0.0,5.0,0.0
275,CV,2,13,uric_acid+copper,7.0,317,0.0,0.2,0.0,0.0,5.0,0.0
276,CV,2,13,uric_acid+copper,7.0,318,0.0,0.1,0.0,0.0,5.0,0.0
277,CV,2,13,uric_acid+copper,7.0,319,0.0,5.0,0.0,0.0,0.2,0.0
278,CV,2,13,uric_acid+copper,7.5,320,0.0,0.2,0.0,0.0,2.0,0.0
279,CV,2,13,uric_acid+copper,6.0,321,0.0,0.5,0.0,0.0,1.0,0.0
280,CV,2,13,uric_acid+copper,6.0,322,0.0,0.1,0.0,0.0,0.2,0.0
281,CV,2,14,uric_acid+aluminum,6.5,323,0.0,2.0,0.0,0.0,0.0,0.2
282,CV,2,14,uric_acid+aluminum,7.0,324,0.0,0.5,0.0,0.0,0.0,0.2
283,CV,2,14,uric_acid+aluminum,7.5,325,0.0,0.1,0.0,0.0,0.0,0.5
284,CV,2,14,uric_acid+aluminum,7.0,326,0.0,0.2,0.0,0.0,0.0,0.1
285,CV,2,14,uric_acid+aluminum,7.0,327,0.0,0.5,0.0,0.0,0.0,1.0
286,CV,2,14,uric_acid+aluminum,8.0,328,0.0,0.2,0.0,0.0,0.0,5.0
287,CV,2,14,uric_acid+aluminum,6.0,329,0.0,2.0,0.0,0.0,0.0,0.2
288,CV,2,14,uric_acid+aluminum,7.0,330,0.0,1.0,0.0,0.0,0.0,5.0
289,CV,2,14,uric_acid+aluminum,7.0,331,0.0,0.1,0.0,0.0,0.0,0.5
290,CV,2,14,uric_acid+aluminum,7.0,332,0.0,0.5,0.0,0.0,0.0,0.1
291,CV,2,14,uric_acid+aluminum,8.0,333,0.0,0.2,0.0,0.0,0.0,5.0
