substance,concentration,pH,method,seed,meanCurrent,stdCurrent,maxCurrent,minCurrent,meanVoltage,voltageRange,meanGradient,maxGradient,minGradient,peakCurrent,peakPotential,peakWidth,peakArea,peakProminence,peakSymmetry,split,label
glucose,2.0,7.5,CV,9,0.1698090187804808,0.2753282518287753,1.0185033247393145,-0.1130744195087508,0.1,1.4,-5.71370915238488e-05,0.0991360659262266,-0.0966546028291716,1.0185033247393145,0.4857715430861723,0.2272545090180361,0.1758100379894284,0.98114815937056,0.8409090909090918,train,3
dopamine,1.0,7.0,CV,6,0.0507297191062001,0.2080918453760448,0.9645613762370376,-0.5163411283030055,0.1,1.4,5.258370378726064e-05,0.0849529941358491,-0.0618313487335324,0.9645613762370376,0.1995991983967936,0.1094188376753506,0.0819767647854247,0.9574190649610866,0.9500000000000012,train,0
ascorbic_acid,0.1,7.0,CV,0,0.0153386180873972,0.024730975010951,0.1026365992223935,-0.0083417323504375,0.1,1.4,1.8949423458224368e-06,0.007755392665063,-0.0083962825675974,0.1026365992223935,0.0537074148296593,0.1851703406813627,0.0141303533271399,0.0977507292585355,0.885714285714286,train,2
aluminum,0.1,8.0,CV,9,0.007817911466777,0.019485211070274,0.0782879315612326,-0.0375115818929216,0.1,1.4,-4.986406853063607e-06,0.0063912005670101,-0.0073939863942254,0.0782879315612326,-0.3054108216432865,0.1683366733466934,0.0099150383824316,0.0756079138275392,0.8750000000000009,train,5
dopamine,10.0,8.0,CV,2,0.2952167218986254,1.2767690536903789,5.627131892117578,-3.2152919804801003,0.1,1.4,-5.640057356598849e-05,0.3938471428221688,-0.447751923133134,5.627131892117578,0.1462925851703407,0.1094188376753506,0.5004639822812436,5.600793693920069,0.9500000000000012,train,0
aluminum,0.2,8.0,CV,2,0.0134023207583254,0.0383140307917776,0.1567936446672227,-0.0793322035372296,0.1,1.4,-6.767150829057298e-06,0.0110719269401506,-0.0187452668762699,0.1567936446672227,-0.3054108216432865,0.1655310621242484,0.0193828158903367,0.1537301344938742,0.9666666666666668,train,5
uric_acid,2.0,7.0,CV,1,0.1431265256149798,0.3340785904024331,1.480767123187679,-0.1140888441947695,0.1,1.4,2.4200245725491857e-05,0.1065535486651724,-0.0927204035853672,1.480767123187679,0.3454909819639279,0.1486973947895791,0.1701433943844988,1.465727661569489,0.7666666666666689,train,1
ascorbic_acid,5.0,8.0,CV,2,0.4593311240531589,0.906162639962329,3.7324872795219743,-0.3576814241653721,0.1,1.4,-4.759844209730657e-05,0.2541202009322183,-0.3225085297922603,3.7324872795219743,0.0172344689378757,0.176753507014028,0.5033577507909323,3.659936916693368,0.9687499999999982,train,2
uric_acid,1.0,7.0,CV,2,0.0789789823951478,0.1806750895191275,0.8046900714041505,-0.065609062351473,0.1,1.4,-6.701445630504149e-06,0.0667249303891857,-0.0608365888889445,0.8046900714041505,0.3539078156312625,0.1402805611222445,0.0882606856864384,0.7937086067092193,0.9230769230769234,train,1
ascorbic_acid,0.5,6.5,CV,1,0.0621193030098299,0.1174263778721498,0.4786242220567868,-0.0472326234491192,0.1,1.4,1.0826089957118812e-05,0.0399574546507238,-0.0386925605190676,0.4786242220567868,0.0845691382765531,0.176753507014028,0.0647524818095389,0.4657649964958023,0.8,train,2
aluminum,0.1,6.5,CV,9,0.0077876702652323,0.0192299669110077,0.078232169321252,-0.0373799563346641,0.1,1.4,-7.399018726399175e-06,0.0063092541157599,-0.0090908269580994,0.078232169321252,-0.3222444889779559,0.1627254509018036,0.0095109902937687,0.0754882564766935,0.8709677419354849,train,5
ascorbic_acid,10.0,6.0,CV,2,0.685107934606253,1.3503768443776707,5.3142781366759975,-0.5364461593387773,0.1,1.4,-7.251185489826729e-05,0.4075034629824738,-0.4819145739528988,5.3142781366759975,0.0845691382765531,0.1879759519038076,0.7796715886455966,5.208756648203301,0.7179487179487174,train,2
ascorbic_acid,0.1,6.5,CV,6,0.0153354299187837,0.02459559573849,0.1012434967991598,-0.0093087438535243,0.1,1.4,1.0033628648910192e-05,0.0123261890840717,-0.0079416147145785,0.1012434967991598,0.0789579158316633,0.1907815631262525,0.0142417588965905,0.0962895843485348,0.8888888888888882,train,2
dopamine,2.0,7.5,CV,2,0.0925676274486973,0.3916435246279443,1.796861722220635,-0.9915564283736596,0.1,1.4,-1.5367774575797105e-05,0.1190764107624931,-0.1336262697210536,1.796861722220635,0.1659318637274549,0.1150300601202405,0.1587199013090981,1.7878235103750504,0.7826086956521753,train,0
ascorbic_acid,0.5,8.0,CV,3,0.0654263472479261,0.1215271844763654,0.4808757896174211,-0.0526952565801671,0.1,1.4,-0.0001410641452408,0.0443014424703556,-0.0754134673389904,0.4808757896174211,0.0256513026052104,0.1991983967935872,0.0726541047535369,0.4664967201258367,0.9189189189189196,train,2
aluminum,2.0,7.0,CV,7,0.0994175180028446,0.3323714830741203,1.332883785727085,-0.6721365656125202,0.1,1.4,-0.0001468423029644,0.0997209913514308,-0.1019167362198821,1.332883785727085,-0.3110220440881763,0.1683366733466934,0.1701088397595052,1.322321846740066,0.935483870967742,train,5
aluminum,0.2,8.0,CV,5,0.0135250231501816,0.0379649349235651,0.1539822446402634,-0.0748824192938527,0.1,1.4,-8.10750909568263e-06,0.0116955288821833,-0.0141465830013163,0.1539822446402634,-0.3054108216432865,0.1683366733466934,0.0194383045975964,0.150386598043033,0.8750000000000009,train,5
uric_acid,0.1,8.0,CV,6,0.0113113587520892,0.0194366017959527,0.0912401002410115,-0.0066322071150121,0.1,1.4,8.318175902153024e-06,0.0093981601250297,-0.0064668774018986,0.0912401002410115,0.292184368737475,0.151503006012024,0.0099892367669133,0.0871033105696509,0.6875000000000008,train,1
dopamine,2.0,6.5,CV,1,0.0890381062120235,0.3832203646624662,1.7562338318981623,-0.9545914965520093,0.1,1.4,2.4270448176778285e-05,0.1252506109521775,-0.1191275180032193,1.7562338318981623,0.2360721442885771,0.1150300601202404,0.1556540496800691,1.746499157911469,0.7826086956521736,train,0
dopamine,5.0,8.0,CV,1,0.187937349705845,0.8250159093256537,3.710518694010303,-2.136804299842604,0.1,1.4,4.8900274998518345e-05,0.2295578151251423,-0.2707309595799423,3.710518694010303,0.1519038076152304,0.1150300601202405,0.3330178872906264,3.692606514717861,0.8636363636363632,train,0
uric_acid,0.1,8.0,CV,8,0.0112690922258207,0.0194551003699224,0.0939395903223247,-0.0052578501414915,0.1,1.4,3.970692814219152e-06,0.0051529407566748,-0.0071017540295091,0.0939395903223247,0.3034068136272545,0.1458917835671341,0.0097168259636381,0.0897956758169457,0.925925925925926,train,1
aluminum,0.5,7.5,CV,1,0.0294494637979935,0.0932972540772486,0.3631006265353844,-0.2022710559214653,0.1,1.4,-1.276800957374761e-05,0.0252617357913552,-0.0308151955061177,0.3631006265353844,-0.3082164328657314,0.1767535070140281,0.0490186193183046,0.3579939484372896,0.96875,train,5
copper,0.5,7.0,CV,9,0.0225975988302132,0.1238595368495052,0.542694509606397,-0.3964263108805886,0.1,1.4,-1.795454880383171e-05,0.0535196913979207,-0.033706326193609,0.542694509606397,-0.0472945891783567,0.0925851703406813,0.0404187057479521,0.5392210392537922,0.9411764705882344,train,4
copper,2.0,6.0,CV,9,0.0751287852587696,0.4396237668308052,1.9109685858597545,-1.4206118542632291,0.1,1.4,-7.064989999052718e-05,0.1866276654146833,-0.1188315152147036,1.9109685858597545,-0.0613226452905811,0.0981963927855711,0.1483388063816456,1.9029858746320536,0.8421052631578941,train,4
dopamine,1.0,6.0,CV,5,0.0498823600136442,0.2022376086840505,0.9270582092149732,-0.4782443019714519,0.1,1.4,-1.2610951129076431e-05,0.0597199430883527,-0.0669504685882868,0.9270582092149732,0.2669338677354709,0.1150300601202404,0.0821529990434151,0.9192402971352952,0.7083333333333346,train,0
aluminum,1.0,7.5,CV,8,0.0554627761510491,0.179495498270291,0.7085065904355101,-0.4029886944804891,0.1,1.4,-2.8395390697082385e-05,0.0545539133947844,-0.0983430453922692,0.7085065904355101,-0.2997995991983967,0.1739478957915831,0.0934634739370911,0.6988795366336407,0.8787878787878786,train,5
ascorbic_acid,0.2,6.0,CV,1,0.0269592862682111,0.0476194051467267,0.1976193992803964,-0.0182424146236759,0.1,1.4,6.087861520523291e-06,0.0163560626984666,-0.0157234295879228,0.1976193992803964,0.0845691382765531,0.1907815631262525,0.0276863015876189,0.1905995286860632,0.7,train,2
uric_acid,5.0,8.0,CV,4,0.3024894071062908,0.7072679515582153,3.125009813889425,-0.3462367413600431,0.1,1.4,-0.0002248336985862,0.207669982113865,-0.2627077239282938,3.125009813889425,0.3006012024048096,0.1458917835671342,0.3549734197067206,3.0902668173829,0.7931034482758614,train,1
aluminum,0.5,8.0,CV,1,0.0294591129811298,0.0936025772471699,0.3688027550345956,-0.2031165443419114,0.1,1.4,-9.264658482065085e-06,0.0249583739500536,-0.0476753303837701,0.3688027550345956,-0.2969939879759519,0.1627254509018036,0.0466729507777479,0.3636828165501787,0.8709677419354837,train,5
ascorbic_acid,5.0,8.0,CV,0,0.45622561560797,0.9060370117827222,3.831594679497515,-0.4677432013796481,0.1,1.4,-2.961211916818085e-05,0.2695206388322464,-0.3160238674004456,3.831594679497515,0.0144288577154308,0.176753507014028,0.5018026740289293,3.7586962528493664,0.8529411764705892,train,2
copper,0.5,6.5,CV,7,0.0214663246040666,0.1238666011315197,0.5380128941261694,-0.3809456110362143,0.1,1.4,-1.465104912738398e-05,0.0364000578812107,-0.0404079104113629,0.5380128941261694,-0.0529058116232464,0.0981963927855711,0.042036141490063,0.5357974115893781,0.9444444444444446,train,4
aluminum,5.0,8.0,CV,7,0.2043647726430942,0.6932228018366806,2.7949055390511943,-1.3888243813272858,0.1,1.4,-0.0002527305577875,0.2080963056415823,-0.2956365723054694,2.7949055390511943,-0.3110220440881763,0.1655310621242485,0.3513015194551108,2.774389232642679,0.787878787878788,train,5
copper,1.0,6.0,CV,4,0.0408844218884617,0.2381226130407109,1.012822409089168,-0.7349651037278867,0.1,1.4,-6.139363380273703e-05,0.084188658684818,-0.0740971910100865,1.012822409089168,-0.064128256513026,0.1038076152304609,0.0823914720894876,1.007492511721347,0.7619047619047625,train,4
dopamine,2.0,6.5,CV,3,0.0929919213746538,0.3840004137429375,1.7811791925464997,-0.9663735210869436,0.1,1.4,-0.0003709716609702,0.1243944341125883,-0.1959615916072716,1.7811791925464997,0.2248496993987976,0.1122244488977955,0.1530921092843899,1.7692713292523503,0.8181818181818203,train,0
uric_acid,0.1,7.5,CV,0,0.0111470252018245,0.0193543413962125,0.0863145709394192,-0.0050629435232543,0.1,1.4,2.1236478409950733e-06,0.0070164452675576,-0.0064825908862379,0.0863145709394192,0.3314629258517034,0.1543086172344688,0.0100947491138934,0.0823827747604944,0.9642857142857164,train,1
aluminum,0.2,7.5,CV,6,0.0134476230381493,0.0380731634116037,0.1528881413878743,-0.0780694321351485,0.1,1.4,4.703071209855655e-06,0.0191810052258004,-0.0181400776733057,0.1528881413878743,-0.3110220440881763,0.1711422845691382,0.0194974723021825,0.1493795103027317,0.9062499999999996,train,5
ascorbic_acid,1.0,7.0,CV,1,0.1180108606105296,0.2283955173500404,0.8953794245545131,-0.0933149551077908,0.1,1.4,1.8357884269816107e-05,0.077493606024878,-0.0741064036430408,0.8953794245545131,0.0649298597194388,0.1879759519038075,0.1313868034053739,0.8727111135123349,0.914285714285714,train,2
aluminum,0.1,6.5,CV,5,0.0077781783620343,0.018904281451817,0.0752653455886254,-0.0380950923121185,0.1,1.4,-5.154490727746808e-06,0.0058816084772634,-0.007293547721028,0.0752653455886254,-0.3054108216432865,0.1739478957915831,0.0097882519616635,0.0725225903558339,0.7222222222222215,train,5
aluminum,5.0,7.5,CV,3,0.2143133844198772,0.6900482030343509,2.7368877476391105,-1.409188184787059,0.1,1.4,-0.0009511908233107,0.2256579753530014,-0.415463615540227,2.7368877476391105,-0.294188376753507,0.1627254509018036,0.3476243440552907,2.7059566325901976,0.7058823529411767,train,5
aluminum,2.0,8.0,CV,6,0.1023126386493409,0.3344573418770919,1.3312464775096853,-0.7155449647885761,0.1,1.4,3.137695231795598e-05,0.1663586612546405,-0.1228748135370302,1.3312464775096853,-0.3110220440881763,0.1655310621242484,0.1680838421150398,1.3139309087379905,0.8437499999999992,train,5
glucose,0.2,6.5,CV,9,0.0226468812832431,0.0310431697834492,0.1199332416109259,-0.0091533299902032,0.1,1.4,-4.199761026214125e-06,0.0117187633554168,-0.011443211949876,0.1199332416109259,0.4857715430861723,0.2132264529058116,0.0190673444549877,0.1120149760777337,0.7272727272727264,train,3
glucose,10.0,6.0,CV,4,0.524010465347468,0.8657862993924371,3.235619884112412,-0.3911038375242172,0.1,1.4,-0.0003047016674291,0.2838393330484552,-0.3548757011406849,3.235619884112412,0.4997995991983969,0.2328657314629258,0.5583255915173502,3.1261523535756908,0.7291666666666692,train,3
uric_acid,10.0,7.5,CV,5,0.4663490937229241,1.0858826628873437,4.683603528964045,-0.4504577018059634,0.1,1.4,-9.11497923249424e-05,0.4139460540787523,-0.2756906898449555,4.683603528964045,0.3090180360721443,0.1571142284569137,0.5693842377743628,4.628723759441392,0.5555555555555555,train,1
aluminum,1.0,6.5,CV,2,0.0553635306745317,0.1780427026247038,0.7014447454604829,-0.379176608267425,0.1,1.4,-6.501801095187101e-05,0.0510373978809897,-0.0787881201142711,0.7014447454604829,-0.3054108216432865,0.1655310621242485,0.0900043194549709,0.6930497607949712,0.6388888888888884,train,5
uric_acid,0.2,8.0,CV,5,0.0195649616250999,0.0386159838934244,0.1772242820782484,-0.0144865623798681,0.1,1.4,-6.105282505266003e-07,0.0126719140061008,-0.0106028339534442,0.1772242820782484,0.2977955911823647,0.1402805611222445,0.0189194355440306,0.1719082573502242,0.7857142857142864,train,1
glucose,0.1,8.0,CV,4,0.0135713877799921,0.0156887658991318,0.0627044792641797,-0.0037448162071106,0.1,1.4,-3.2397140199356256e-06,0.0055181543995017,-0.0069873191677814,0.0627044792641797,0.4268537074148296,0.2300601202404809,0.0101437740529208,0.056371859928673,0.4642857142857144,train,3
glucose,0.5,6.0,CV,6,0.0489705529729735,0.0753435761872948,0.2919444835446586,-0.0254888310041019,0.1,1.4,2.5586891760586624e-05,0.0388733527320271,-0.0235240115646048,0.2919444835446586,0.4829659318637275,0.2272545090180362,0.0481327307513242,0.278473747438959,0.4727272727272733,train,3
ascorbic_acid,2.0,7.5,CV,3,0.2246760405440991,0.4312230083015545,1.7306900934438598,-0.1912823240834798,0.1,1.4,-0.0005056795810799,0.1603031299215276,-0.2665934151966821,1.7306900934438598,0.0284569138276553,0.1851703406813627,0.2468803776500383,1.6886143730283434,0.7837837837837843,train,2
ascorbic_acid,0.2,6.5,CV,4,0.0274957365748671,0.0489898827761181,0.1956899485111257,-0.0175078166185892,0.1,1.4,-1.3940859986605353e-05,0.0157852894848832,-0.0193364873248167,0.1956899485111257,0.062124248496994,0.1907815631262525,0.0286742707300231,0.1890346435435116,0.6585365853658545,train,2
glucose,0.1,6.5,CV,0,0.0132722169051272,0.0156638283300912,0.0618128933306161,-0.0035841165497258,0.1,1.4,2.178724251739469e-06,0.0051583093771689,-0.005959223326617,0.0618128933306161,0.5110220440881764,0.2328657314629257,0.0102724837056666,0.0558839768255789,0.9302325581395338,train,3
dopamine,5.0,6.0,CV,6,0.1825802160609663,0.7838873216703086,3.6252183387392622,-1.9344999917037375,0.1,1.4,0.0001895634807193,0.318757600189643,-0.288042934804932,3.6252183387392622,0.2529058116232465,0.1094188376753507,0.3076661663092545,3.6068524452424473,0.8571428571428585,train,0
glucose,0.5,8.0,CV,9,0.0505581101429508,0.0771060719351179,0.2837765821503982,-0.0284669023240196,0.1,1.4,-1.4198910518044998e-05,0.0279308198992859,-0.0271019902938795,0.2837765821503982,0.4857715430861723,0.2384769539078156,0.0509238616712277,0.2700668536109508,0.7708333333333343,train,3
aluminum,2.0,8.0,CV,1,0.1004817530106551,0.3356873947786968,1.318173198498004,-0.735619647544875,0.1,1.4,-4.055225608508399e-05,0.0892562734331051,-0.1708234849960141,1.318173198498004,-0.2969939879759519,0.1627254509018036,0.1675131452246918,1.3046874081742623,0.8709677419354837,train,5
glucose,10.0,6.0,CV,8,0.5216953142450448,0.8774956472189442,3.197024621616603,-0.3768568253855978,0.1,1.4,5.7597924456919305e-05,0.2565927398780777,-0.2602770910602955,3.197024621616603,0.4857715430861723,0.227254509018036,0.5634935571470356,3.100339299343427,0.5576923076923072,train,3
glucose,5.0,6.0,CV,5,0.3391987768682096,0.5643011225121942,2.068710648994312,-0.2085983284777259,0.1,1.4,-5.017664113340598e-05,0.190995869856741,-0.2258293829190837,2.068710648994312,0.5054108216432865,0.2496993987975952,0.3837094068358943,2.000822928179196,0.745098039215686,train,3
glucose,0.2,6.0,CV,1,0.0222258023574112,0.0311025133779304,0.118080917405468,-0.0113570830623996,0.1,1.4,5.048685116163361e-06,0.0111802339911457,-0.0092427301875276,0.118080917405468,0.5306613226452906,0.2356713426853709,0.0205134635326115,0.1110236062444112,0.8260869565217381,train,3
ascorbic_acid,0.2,7.5,CV,3,0.0283131292788562,0.0493077950729574,0.200439027551488,-0.0203949275013245,0.1,1.4,-5.608364507540728e-05,0.0185513654461072,-0.0308553768330596,0.200439027551488,0.0284569138276553,0.1851703406813627,0.0281993482355572,0.193000310475926,0.7837837837837843,train,2
uric_acid,0.2,6.5,CV,2,0.0190055793673336,0.0379325728515452,0.1708805874796078,-0.0143534931499366,0.1,1.4,7.730691358523697e-07,0.0136533686796176,-0.0130120308187607,0.1708805874796078,0.3763527054108216,0.151503006012024,0.0194760615211899,0.1659670727517072,0.862068965517243,train,1
aluminum,2.0,7.5,CV,3,0.1044971896765668,0.3331166927554083,1.3221697990071568,-0.6788192479656703,0.1,1.4,-0.0004579888621373,0.1090147339669105,-0.2006853377858339,1.3221697990071568,-0.294188376753507,0.1627254509018036,0.1678577902368596,1.3066758088165689,0.7058823529411767,train,5
ascorbic_acid,0.5,6.5,CV,6,0.0627844912124925,0.1190039647406024,0.4783713876067818,-0.0511446340726659,0.1,1.4,3.695904979119336e-05,0.0582839766057234,-0.0375687013986997,0.4783713876067818,0.0789579158316633,0.1991983967935872,0.0711434018152349,0.4666059538436591,0.9722222222222218,train,2
aluminum,10.0,8.0,CV,0,0.3202155044981689,1.0845762093032163,4.156798174947132,-2.493224333397808,0.1,1.4,-0.0002457909815015,0.313888473544983,-0.361048672161165,4.156798174947132,-0.3082164328657314,0.1739478957915831,0.5661271417523402,4.11582966649872,0.8235294117647052,train,5
aluminum,1.0,6.5,CV,4,0.055657366078214,0.1776955674010384,0.6917306856282193,-0.3635404116460322,0.1,1.4,-0.0001145568033558,0.0583272574586571,-0.06375406162597,0.6917306856282193,-0.3278557114228457,0.1767535070140281,0.0944333837279043,0.6824805380610659,0.7999999999999996,train,5
uric_acid,0.2,7.5,CV,3,0.0196001459163942,0.0384712686566669,0.18019989787467,-0.0145655463279459,0.1,1.4,-4.0794892951203806e-05,0.0115642685786727,-0.0228389777819904,0.18019989787467,0.3230460921843687,0.1458917835671342,0.019342447899598,0.1751016721478709,0.7931034482758614,train,1
ascorbic_acid,10.0,8.0,CV,8,0.7116191991045738,1.4135945282115852,5.584880056118995,-0.5157210727020555,0.1,1.4,8.821264233651926e-05,0.4117550081634909,-0.4511919056126111,5.584880056118995,0.0256513026052104,0.1879759519038075,0.8195975566765686,5.480753802804441,0.914285714285714,train,2
glucose,1.0,7.5,CV,5,0.0929688699245074,0.1485295880126398,0.5470588345215167,-0.0521898328028309,0.1,1.4,-1.1264394556229191e-05,0.0530821241108585,-0.0589535022085928,0.5470588345215167,0.4829659318637275,0.224448897795591,0.0936467186551506,0.5252550813692803,0.999999999999999,train,3
ascorbic_acid,5.0,7.5,CV,5,0.4577865748971587,0.9032876890891358,3.71351504105562,-0.3921577235496629,0.1,1.4,-7.893301940560172e-05,0.2723344457490947,-0.3057399732750534,3.71351504105562,0.0172344689378757,0.1795591182364729,0.505183983130913,3.640523333894522,0.5609756097560971,train,2
aluminum,10.0,7.0,CV,5,0.3262931565179456,1.0636824518626258,4.202686088031499,-2.2666377091921524,0.1,1.4,-0.000389474104143,0.3239776002225852,-0.4019572392542745,4.202686088031499,-0.3054108216432865,0.1739478957915831,0.555078723841525,4.154032936968335,0.8235294117647058,train,5
copper,0.5,6.5,CV,1,0.0217043752893871,0.1233304895725151,0.5395909151575645,-0.380789146550752,0.1,1.4,9.453812948743646e-06,0.0397824531101844,-0.0356008232485365,0.5395909151575645,-0.0501002004008015,0.0981963927855711,0.0417469059788743,0.5364751983747154,0.8421052631578934,train,4
ascorbic_acid,0.1,6.0,CV,7,0.0150117122885873,0.024193536585495,0.0991718413576671,-0.0074078648874289,0.1,1.4,-1.6068965462366635e-06,0.0072354427985433,-0.0073108636712891,0.0991718413576671,0.087374749498998,0.1935871743486974,0.0141779502997276,0.0945951874054746,0.7250000000000003,train,2
glucose,5.0,6.5,CV,1,0.3376064316811042,0.5674059487981354,2.0411012725814257,-0.2444364607461352,0.1,1.4,4.2208876107583975e-05,0.1962351577682608,-0.1624248861749028,2.0411012725814257,0.4857715430861723,0.2440881763527054,0.3810546774196775,1.9791124603522776,0.7058823529411755,train,3
dopamine,0.2,7.5,CV,8,0.0131917722954197,0.0447060763120349,0.2076906372455456,-0.1045082818399607,0.1,1.4,5.095905325578188e-06,0.0141581997686173,-0.0175449485667173,0.2076906372455456,0.1715430861723447,0.1122244488977955,0.0179393322756674,0.2036984205002728,0.818181818181817,train,0
